  
       RFOIL         Version 3.00
  
 Calculated polar for: OSO_2025_WT2_T36                
  
 1  Reynolds number fixed
  
 xtrf =      1.00000000 (suction)     1.00000000 (pressure)
 Rot. Parameters:  f0 =      1.00000000 c/r =      0.00000000
 Mach =      0.00000000     Re =     12.00000000 e 6     Ncrit =      9.00000000
  
             alpha                CL                CD            Re(CL)                CM             S_xtr             P_xtr               CDp            I_stag            X_stag
  ------- -------- --------- --------- -------- ------- ------- -------- 
-0.20700003E+02    -0.86265248E+00     0.14231087E+00     0.12000000E+02     0.61322399E-02     0.49660456E+00     0.12132067E+00     0.13916744E+00      81     0.41551385E-01
-0.20600000E+02    -0.85934615E+00     0.14151338E+00     0.12000000E+02     0.53334637E-02     0.49585706E+00     0.12295577E+00     0.13837694E+00      81     0.41551385E-01
-0.20500000E+02    -0.85758609E+00     0.14062567E+00     0.12000000E+02     0.46468345E-02     0.49463609E+00     0.12489764E+00     0.13749856E+00      82     0.38310602E-01
-0.20400002E+02    -0.85112321E+00     0.14009070E+00     0.12000000E+02     0.40151705E-02     0.49277747E+00     0.12428587E+00     0.13694605E+00      81     0.41551385E-01
-0.20100000E+02    -0.84788197E+00     0.13640700E+00     0.12000000E+02     0.14114571E-02     0.49005458E+00     0.12894647E+00     0.13325247E+00      82     0.38310602E-01
-0.20000002E+02    -0.84414256E+00     0.13563216E+00     0.12000000E+02     0.68196398E-03     0.48767808E+00     0.13022777E+00     0.13247517E+00      82     0.38310602E-01
-0.19900000E+02    -0.83879805E+00     0.13503422E+00     0.12000000E+02     0.77344826E-04     0.48515505E+00     0.13072583E+00     0.13186942E+00      82     0.38310602E-01
-0.19800001E+02    -0.83618051E+00     0.13418624E+00     0.12000000E+02    -0.60631870E-03     0.48393247E+00     0.13273944E+00     0.13102923E+00      82     0.38310602E-01
-0.19700001E+02    -0.83064634E+00     0.13354093E+00     0.12000000E+02    -0.12038120E-02     0.48505050E+00     0.13269068E+00     0.13037942E+00      82     0.38310602E-01
-0.19400002E+02    -0.82658625E+00     0.13004459E+00     0.12000000E+02    -0.36376929E-02     0.48160332E+00     0.13673359E+00     0.12687279E+00      83     0.35290882E-01
-0.19300001E+02    -0.82290858E+00     0.12930593E+00     0.12000000E+02    -0.42927656E-02     0.47932130E+00     0.13795854E+00     0.12613465E+00      83     0.35290882E-01
-0.19200001E+02    -0.82007223E+00     0.12841944E+00     0.12000000E+02    -0.49512521E-02     0.47955206E+00     0.14016725E+00     0.12525690E+00      83     0.35290882E-01
-0.19100000E+02    -0.81402099E+00     0.12790395E+00     0.12000000E+02    -0.54828543E-02     0.47733986E+00     0.14013375E+00     0.12472931E+00      83     0.35290882E-01
-0.19000002E+02    -0.81097871E+00     0.12692508E+00     0.12000000E+02    -0.62030964E-02     0.47809714E+00     0.14163917E+00     0.12375487E+00      83     0.35290882E-01
-0.18800001E+02    -0.81366849E+00     0.12393567E+00     0.12000000E+02    -0.79782307E-02     0.47485495E+00     0.14563610E+00     0.12076047E+00      83     0.35290882E-01
-0.18700001E+02    -0.80741584E+00     0.12344282E+00     0.12000000E+02    -0.84750541E-02     0.47369382E+00     0.14577945E+00     0.12025807E+00      83     0.35290882E-01
-0.18600000E+02    -0.80354542E+00     0.12264519E+00     0.12000000E+02    -0.91391522E-02     0.47271147E+00     0.14760800E+00     0.11946239E+00      84     0.32470226E-01
-0.18500002E+02    -0.79900050E+00     0.12196244E+00     0.12000000E+02    -0.96837273E-02     0.47189027E+00     0.14877348E+00     0.11877784E+00      84     0.32470226E-01
-0.18400000E+02    -0.79574704E+00     0.12102678E+00     0.12000000E+02    -0.10311476E-01     0.47028488E+00     0.14989851E+00     0.11784005E+00      84     0.32470226E-01
-0.18200001E+02    -0.79812920E+00     0.11805977E+00     0.12000000E+02    -0.12020662E-01     0.46713895E+00     0.15363130E+00     0.11486843E+00      84     0.32470226E-01
-0.18100002E+02    -0.79223579E+00     0.11752219E+00     0.12000000E+02    -0.12511644E-01     0.46632984E+00     0.15385556E+00     0.11432500E+00      84     0.32470226E-01
-0.18000000E+02    -0.78834432E+00     0.11678910E+00     0.12000000E+02    -0.13043307E-01     0.46683121E+00     0.15586355E+00     0.11359967E+00      84     0.32470226E-01
-0.17900000E+02    -0.78455281E+00     0.11604077E+00     0.12000000E+02    -0.13644538E-01     0.46616885E+00     0.15731671E+00     0.11285616E+00      85     0.29829627E-01
-0.17800001E+02    -0.78367025E+00     0.11487383E+00     0.12000000E+02    -0.14330514E-01     0.46515092E+00     0.15907712E+00     0.11169271E+00      85     0.29829627E-01
-0.17600000E+02    -0.78260875E+00     0.11218196E+00     0.12000000E+02    -0.15844662E-01     0.46277004E+00     0.16165620E+00     0.10898574E+00      85     0.29829627E-01
-0.17500000E+02    -0.77811217E+00     0.11152938E+00     0.12000000E+02    -0.16371647E-01     0.46334660E+00     0.16334349E+00     0.10834008E+00      85     0.29829627E-01
-0.17400002E+02    -0.77422899E+00     0.11077993E+00     0.12000000E+02    -0.16863411E-01     0.46224409E+00     0.16465119E+00     0.10759171E+00      85     0.29829627E-01
-0.17300001E+02    -0.77066845E+00     0.11001342E+00     0.12000000E+02    -0.17424405E-01     0.46068624E+00     0.16592692E+00     0.10682482E+00      85     0.29829627E-01
-0.17200001E+02    -0.76555723E+00     0.10934266E+00     0.12000000E+02    -0.17921532E-01     0.46057010E+00     0.16615960E+00     0.10615116E+00      85     0.29829627E-01
-0.17000002E+02    -0.72416842E+00     0.11225966E+00     0.12000000E+02    -0.22062955E-01     0.45622799E+00     0.16869445E+00     0.10911278E+00      86     0.27352797E-01
-0.16800001E+02    -0.75974488E+00     0.10483855E+00     0.12000000E+02    -0.20483347E-01     0.45719412E+00     0.17283867E+00     0.10163877E+00      86     0.27352797E-01
-0.16700001E+02    -0.75910336E+00     0.10375559E+00     0.12000000E+02    -0.21069063E-01     0.45510557E+00     0.17550494E+00     0.10056195E+00      86     0.27352797E-01
-0.16600000E+02    -0.75477767E+00     0.10296278E+00     0.12000000E+02    -0.21554444E-01     0.45432609E+00     0.17575681E+00     0.99760212E-01      86     0.27352797E-01
-0.16400002E+02    -0.75911570E+00     0.99898040E-01     0.12000000E+02    -0.23007071E-01     0.45290312E+00     0.18123634E+00     0.96704677E-01      86     0.27352797E-01
-0.16300001E+02    -0.75485241E+00     0.99219888E-01     0.12000000E+02    -0.23496287E-01     0.45294437E+00     0.18248361E+00     0.96030101E-01      86     0.27352797E-01
-0.16200001E+02    -0.74871022E+00     0.98590419E-01     0.12000000E+02    -0.23925912E-01     0.45096213E+00     0.18264875E+00     0.95392808E-01      87     0.25025984E-01
-0.16100000E+02    -0.74480897E+00     0.97818062E-01     0.12000000E+02    -0.24404453E-01     0.45061234E+00     0.18404868E+00     0.94621040E-01      87     0.25025984E-01
